Name,Order,Team,_id,imageURL,owner,playerID,price
Siddarth Kaul,76,Royal Challengers Bangalore,6237432cbc98f09d4442ccf9,https://iplstatic.s3.amazonaws.com/players/210/1086.png,teamless,869,0
Wriddhiman Saha,77,Gujarat Titans,6237432cbc98f09d4442ccfa,https://www.cricket.com.au/-/media/Players/Men/International/India/IND_Saha.ashx,teamless,2981,0
Evin Lewis,80,Mumbai Indians,6237432cbc98f09d4442ccfd,https://resources.pulse.icc-cricket.com/players/champions-trophy-2017/284/872.png,teamless,116,0
Dwayne Bravo,86,Chennai Super Kings,6237432cbc98f09d4442cd03,https://www.cricket.com.au/-/media/Players/Men/Domestic/Melbourne%20Stars/BBL08/MS_BBL_headshot_builder_Bravo_468x680.ashx,teamless,439,0
Sam Billings,88,Kolkata Knight Riders,6237432cbc98f09d4442cd05,https://res.cloudinary.com/celebritystill/image/upload/v1523803250/ipl/sam-billings.png,teamless,152,0
Umesh Yadav,90,Kolkata Knight Riders,6237432cbc98f09d4442cd07,https://www.cricket.com.au/-/media/Players/Men/International/India/Umesh-Yadav-CT17.ashx,teamless,58,0
Glenn Phillips,91,Sunrisers Hyderabad,6237432cbc98f09d4442cd08,https://www.cricket.com.au/-/media/Players/Men/International/New%20Zealand/Glenn-Phillips-T202021.ashx?h=548,teamless,216,0
Jason Behrendorff,92,Royal Challengers Bangalore,6237432cbc98f09d4442cd09,https://www.perthscorchers.com.au/-/media/Players/Men/Domestic/Perth%20Scorchers/BBL11/Jason-Behrendorff-2122.ashx,teamless,626,0
Daryl Mitchell,93,Rajasthan Royals,6237432cbc98f09d4442cd0a,https://www.bigbash.com.au/-/media/Players/Men/International/New%20Zealand/2021%20T20%20WC/Daryl-Mitchell-2122.ashx,teamless,3788,0
Rassie van der Dussen,94,Rajasthan Royals,6237432cbc98f09d4442cd0b,https://www.cricket.com.au/-/media/Players/Men/International/South%20Africa/2021%20T20WC/Rassie-vanderDussen-2122.ashx,teamless,82,0
Obed McCoy,95,Rajasthan Royals,6237432cbc98f09d4442cd0c,https://www.bigbash.com.au/-/media/Players/Men/International/West%20Indies/2021%20T20WC/Obed-McCoy-2122.ashx,teamless,130,0
Shahrukh Khan,109,Punjab Lions,6237432cbc98f09d4442cd1a,https://addinghamcricketclub-static.yourcricket.site/images/2018/09/original/b7c78734815d458fc54ff627d4e1c984.png,teamless,7668,0
Mustafizur Rahman,110,Delhi Capitals,6237432cbc98f09d4442cd1b,https://www.cricket.com.au/-/media/Players/Men/International/Bangladesh/Mustafizur-Rahman-CWC19.ashx,Undrafted,237,0
Jaydev Unadkat,113,Mumbai Indians,6237432cbc98f09d4442cd1e,https://iplstatic.s3.amazonaws.com/players/284/86.png,Undrafted,2795,0
Deepak Hooda,115,Lucknow Super Giants,6237432cbc98f09d4442cd20,https://res.cloudinary.com/celebritystill/image/upload/v1523803250/ipl/deepak-hooda.png,Undrafted,2915,0
